Booking ID,Flight ID,Seat Class,Seats Booked,Fare Paid,Customer ID
1,302,First,4,6647.96,d378026a-9753-4b9f-88ee-abc381fcfb41
2,744,Economy,3,951.21,2c2c68e1-64f2-4b0f-8d8c-b8d665594911
3,280,First,4,5407.3,fe26ef63-bd3f-48e9-b457-4d40d90e75e2
4,347,Economy,2,4127.079000000001,9809c4df-5189-44bc-8f3a-80fc9e9b24a2
5,582,First,4,2455.575,89c85e43-7477-4ea7-95c2-0d5173e6c5f9
6,763,Business,1,1951.28,0d668a2b-3e34-4bd4-82e5-2b2a8ac9e350
7,609,Business,3,6743.969999999999,e107af49-5cb9-4fd9-ba04-3ca3bc5b3198
8,325,First,3,4823.08,e48642d3-10ca-4678-9c4c-f429b28a7360
9,852,Economy,2,795.6840000000001,17f17566-9739-41a9-bb95-60c244b2878e
10,56,Economy,4,1612.5780000000002,0d5025da-784a-41e2-8f66-ecc26f97e931
11,94,Business,4,1555.215,692baad9-6571-4016-bdbb-e1063e5dec03
12,763,Business,4,3656.62,0efddfe3-58d6-4411-bcdb-0bbe9e5d9f0e
13,751,First,2,6020.16,2e1b1ebd-9209-4c3c-b264-db9ce4119e90
14,524,Business,1,1560.465,18e29bff-340e-45d3-8da5-6ba1cbc60fdc
15,296,Business,4,7278.495,31b5de8d-3a60-42bb-bd34-dc49c1440fcb
16,329,First,1,1024.12,e8941d4c-417a-4050-b715-cb701e99ea85
17,995,Business,4,5277.36,e5de5723-9ff8-4422-97ad-c6e8a5c25cd9
18,392,Economy,3,986.5570000000001,250fcba1-1044-42f7-a61a-5bee572682a3
19,897,First,2,7064.594999999999,1ef71753-f7f3-41ff-83b8-18c0fb323658
20,902,Economy,2,5634.495,6a84b707-90bd-406d-a099-3d847f9caf67
21,351,First,3,3891.804,78e4b821-1a3d-4202-ba37-a08bbcd589f6
22,656,Business,1,1402.46,d6ed69d8-519f-4505-a1ed-6576f73548d8
23,333,Economy,2,6298.1849999999995,8311d3f6-d6a9-4c17-8c7a-07074bdb97c3
24,870,First,4,3559.332,8a0004fb-7862-481e-9785-3c724fb032f9
25,280,Economy,4,5177.26,5aa8ffe8-95da-46a4-ad28-9b7da09184a7
26,510,Economy,2,3220.3439999999996,544ada61-5ea4-4d4a-b9e0-eae7b02a008c
27,456,Economy,2,6080.8,17d7d2db-acb0-4e74-a8e8-6082f02d0874
28,300,First,2,4807.660000000001,924a52cc-21e1-4aa8-ad1c-fb3c53f146b2
29,772,Business,4,4549.187999999999,0955c306-88a9-4a24-9740-0e76d70c1fb0
30,487,Economy,1,3215.64,dc4578a2-61c1-4d78-9da3-182e4e8ad378
31,576,First,2,3622.4399999999996,c9a34859-852e-4019-9a1c-1327dac20f2e
32,454,First,2,3319.608,afb0564e-b033-48d9-945e-a0a3b2f12bcd
33,415,Economy,2,4030.956,b701672c-45d3-41b3-9d9f-bf9a7e2d8668
34,30,Business,4,2099.0860000000002,c0d2922e-03ab-448a-833f-c925da6ac8ca
35,818,First,3,4439.76,10988569-12b6-4a42-82a6-08eaa66fdb75
36,93,Economy,1,274.44,81950a69-590d-4dee-b8db-762af126d229
37,984,First,3,2025.42,d457c94f-962f-441f-b146-8e35b21067a6
38,563,Economy,3,4074.75,6e6d6fa3-f749-48dd-93ba-c4007807b467
39,460,First,3,957.432,3f1eab84-acf9-42be-9ccd-f71b6f8dc1d3
40,807,Economy,4,549.571,02e80726-ee0c-48e4-8e2e-f7bd230f515b
41,582,First,3,5376.045,d2434db9-a7be-4800-ada1-6ed750f2ab5d
42,311,Economy,1,4086.5249999999996,be2b7c20-3121-4b39-95da-33b4ab6fd37c
43,489,Business,1,451.224,d6eb5051-ffdb-4b40-9cd8-ec4eceaf6143
44,862,First,3,4458.88,53967173-816f-46c5-9f5d-1de9361bbd3e
45,783,Economy,1,2810.9519999999998,1773f7e9-d639-4cc1-b100-b669fd0c3eaf
46,114,Economy,2,1552.185,3fac62e8-13af-4738-8b0b-28a3633d59ce
47,628,Business,3,2627.004,7c05fd02-21ae-4631-ac4f-8debb673b669
48,834,Economy,1,5994.96,faef5764-50ab-4525-ad39-2a536a21492a
49,455,Economy,4,1731.24,7e2808df-6ebf-4c01-8677-85f962760ef9
50,149,Business,1,1224.22,65940e9b-6c9e-411a-ba76-bb84654cc5fa
51,975,First,1,5594.49,ddf27a90-e248-4f64-9bae-25382f3ee649
52,126,Business,1,3310.08,d94d2bd1-6501-4cae-b00d-b2c71591934d
53,215,Economy,1,1661.5500000000002,8571c951-c9ce-4a76-82f3-5034b16aa953
54,990,Economy,4,9289.86,f7e35d52-8c11-4caf-ab0e-9195bfa71759
55,471,First,3,890.38,6c083a4b-56b1-4c17-acbd-c5376f560002
56,713,Business,1,5446.42,63fb6ec3-23e1-4aa3-b320-ead2e9bd3af2
57,745,Business,2,3804.4930000000004,650d2cc2-6acd-4723-95e1-da57fed75566
58,158,Economy,2,1271.67,e7515101-4e7c-41f2-b004-8ffbbdf23891
59,173,First,2,3184.68,e67b6c61-7e77-42fc-ba8a-969a0b5f7fbe
60,843,Economy,3,5076.5,72e1790f-2733-4d7d-8ca9-f308d70f618f
61,23,First,2,699.26,dacfde86-917d-4011-8490-dade8f3c155b
62,114,First,3,4539.864,6909fe68-a587-46a3-bf86-43028e58d4fe
63,49,Business,3,1042.35,02b1eed8-b5a3-438a-a4a8-72bacf617336
64,831,First,2,4183.3550000000005,091168b2-9e95-4cd3-8cca-25abbe9de7de
65,864,Economy,3,861.66,cad0e41e-4736-4087-a812-07c13c3b47ae
66,770,Economy,1,4669.41,9a65650d-fe4c-4068-b803-863c9764a7b2
67,497,Economy,1,4477.38,f9031ec5-c98c-49cc-b971-ab255a493abb
68,269,Economy,1,4002.3900000000003,30ac019e-7acd-46c9-838e-c113644f5b5f
69,676,First,4,3210.46,0eb602eb-7cc7-4555-9ecc-1da6210bd6f7
70,955,Economy,3,2665.5090000000005,2d02aa1a-5c47-4c42-9983-08a2ec353303
71,843,First,4,7600.4,f84b15ee-dd8d-43cd-93b4-7019868d5df4
72,120,Economy,2,1494.3500000000001,a096e983-78f5-45ef-a6ed-5801050680b8
73,912,Business,1,1081.54,136694c5-00d2-42fe-8db1-f3e024be168b
74,821,Economy,3,1921.692,400ecedd-1be6-4c49-ba8b-1b0b50e3bb9d
75,676,Business,1,3037.507,855dd459-3aa6-4cdf-9ff6-ca054b52e84f
76,886,Business,2,3055.8770000000004,2478be9a-2e0b-4943-aa07-905b4669af60
77,527,Business,2,2343.02,d0acaea1-2b42-4415-8c87-83d34f6b6b5b
78,106,First,2,902.4,edd89d35-1612-4a4f-8036-a36cb7e613e8
79,65,Economy,4,4969.4,4ee2ce58-31cc-413b-84d0-152c3e327f60
80,917,First,3,3676.46,c491a45f-e160-4d19-ad2d-492e58e48be8
81,526,Business,3,1987.905,d45a9765-5340-4059-9d29-98a8a5a4dca3
82,204,First,3,5371.643999999999,6a9e7e20-f449-41f1-9171-c395a9d51509
83,652,Economy,3,2044.272,1c570cea-5f27-42c7-bdee-012b519982d1
84,685,First,3,8050.16,d022e20f-b92d-4a34-a14f-767ec6c91c4f
85,35,First,4,1375.6,65828da4-aa70-4787-b4d9-56594c55e36a
86,851,Business,3,8707.26,d0ad69cf-3e69-489c-bc8d-6a79ed5e4292
87,84,Business,1,4870.28,d407d248-8aae-4008-8e00-8f4b7bdcccae
88,144,First,4,6532.049999999999,616cc3f2-046f-4781-90c5-ffa0e8e5f27e
89,4,Economy,3,1734.3480000000002,edde9427-a59a-4939-802f-a9c57942e1c8
90,122,Economy,4,5095.035,29aa3ae0-4755-41d4-8477-8899e184ce95
91,274,First,2,1763.432,045a98bf-2299-4253-809a-24ac88e7cad1
