Customer ID,Flight ID,Rating,Feedback Comments,Date of Feedback
1b3c006e-4cd4-4568-97ec-db443710bf41,397,3,"Flight was okay. The staff was helpful, but there were a few hiccups during boarding.",2025-03-02
fc137dcc-4559-4df2-ab1d-9a5a6ccca230,165,2,"The seats were uncomfortable, and the meal was disappointing, but the crew was friendly.",2025-02-05
ceac6124-b754-4092-be5e-abc9f16da662,499,5,"Excellent flight! The staff was extremely courteous, and the flight was smooth and punctual.",2025-01-06
ad4cbb98-f3a2-482c-8d25-8aee3e6f44d7,183,5,"I had a fantastic experience. The flight was on time, and the staff went above and beyond to make passengers comfortable.",2025-02-09
d2baa4f8-8fa6-4dbc-9472-034a7fd5a9b6,389,5,"I had a fantastic experience. The flight was on time, and the staff went above and beyond to make passengers comfortable.",2025-01-21
0d2c63ac-3483-4916-9890-6d2a434e44ea,985,5,"Best flight I've had in a long time. The crew was exceptional, and the flight was perfect.",2025-01-15
cde80941-bd62-4205-87af-690cf30dd423,283,4,"Great experience! The flight was on time, and the crew was very helpful.",2025-03-25
28d29577-0729-4f41-ad14-473e2d683ae9,880,3,"Not bad, but not great either. I expected better amenities on a long flight.",2025-04-08
c4714783-e3b2-41cb-88e0-6a0e63359c92,453,5,"I had a fantastic experience. The flight was on time, and the staff went above and beyond to make passengers comfortable.",2025-01-16
60a63419-a11d-40e7-ab62-269aedca2f0b,174,3,"The flight was on time, but the service could have been better. The food was mediocre.",2025-04-19
648617b6-e579-428a-a8dd-3dfc0ea6d057,41,3,"Not bad, but not great either. I expected better amenities on a long flight.",2025-01-20
a5ce5525-3949-45dd-a9ef-745b59e97f87,802,5,"I had a fantastic experience. The flight was on time, and the staff went above and beyond to make passengers comfortable.",2025-03-04
57cbc36e-124e-433e-9108-717d116c51b4,770,4,"Pleasant flight. The crew was excellent, and the amenities were above expectations.",2025-02-02
07451f30-9603-4e06-9445-787d0369d62d,771,3,"Not bad, but not great either. I expected better amenities on a long flight.",2025-03-03
db0081a8-0a5a-4cea-b494-ea3b8e2ace80,708,4,"Great experience! The flight was on time, and the crew was very helpful.",2025-01-20
84481afb-edaa-4ec5-b6f9-8822a8576748,189,3,"Not bad, but not great either. I expected better amenities on a long flight.",2025-02-10
76de7ff9-a289-4721-a9d6-ce0834585531,71,4,"Pleasant flight. The crew was excellent, and the amenities were above expectations.",2025-02-21
1c159c4b-3542-4c6c-81c7-e38f1499708e,453,3,"Not bad, but not great either. I expected better amenities on a long flight.",2025-02-26
763dd526-ea9b-4f49-a171-7c2ca66c253d,941,5,"Best flight I've had in a long time. The crew was exceptional, and the flight was perfect.",2025-03-06
91f4c6af-fb73-4616-ad9c-624ec4eac36f,853,5,"Best flight I've had in a long time. The crew was exceptional, and the flight was perfect.",2025-02-27
ef44b480-589c-45d1-b6fb-ff6b2e60773f,988,3,"The flight was on time, but the service could have been better. The food was mediocre.",2025-02-16
