Flight ID,Flight Date,Departure Time,Arrival Time,Origin Airport,Destination Airport,Airline,Aircraft Type,Flight Duration,Distance,Revenue,Fuel Cost,Crew Cost,Flight Delay (hours)
1,2023-09-02,20:12:37,03:59:48,South Danastad,Richardbury,Southwest,Boeing 737,10.43,520.06,17067.2,3790.83,4154.37,0.0
2,2024-09-04,19:33:12,01:08:30,East Kevinland,Port Jody,Delta,Boeing 777,3.43,878.36,17322.09,5092.33,4499.78,0.0
3,2025-03-11,13:27:28,08:57:38,Davidmouth,New Katie,Delta,Airbus A380,4.05,872.29,10712.49,6541.33,1093.02,1.37
4,2021-10-05,21:49:19,20:33:14,West Lisaberg,Hansontown,Delta,Airbus A320,10.79,1492.71,23604.39,3967.07,3716.81,0.0
5,2022-12-15,14:12:49,14:48:43,Wilsonmouth,Cartermouth,American Airlines,Airbus A380,11.94,1468.69,41053.32,1499.72,3296.14,2.65
6,2024-10-12,18:15:58,07:41:03,West Scott,South Cherylview,Delta,Boeing 737,11.43,455.51,11263.78,4853.12,1860.69,2.92
7,2023-11-16,06:13:42,12:57:32,Sandersbury,Dustinbury,Southwest,Boeing 737,4.27,1600.13,15280.23,7099.88,1182.8,1.93
8,2024-12-11,21:13:05,20:53:32,Port Laura,West Ryanshire,Southwest,Airbus A380,6.9,316.92,21390.77,4176.55,3817.66,0.0
9,2023-02-03,15:51:10,21:24:17,Nguyentown,Hammondport,American Airlines,Airbus A320,11.31,1206.45,11211.14,9955.71,4485.16,3.11
10,2020-10-25,18:21:20,12:58:57,North Kathy,Valdezfurt,Delta,Boeing 737,11.52,1688.77,45772.39,7787.48,2386.74,3.79
11,2024-09-29,10:49:57,14:24:12,Markmouth,Carpenterhaven,United Airlines,Boeing 777,3.74,2303.82,49959.03,549.19,4157.42,0.0
12,2021-10-16,02:38:20,04:21:54,Desireemouth,Lake Ernest,United Airlines,Airbus A320,10.14,1646.78,21314.35,1331.79,2386.99,0.0
13,2021-04-25,07:25:29,00:48:06,East Michaeltown,West Robertport,Delta,Airbus A380,4.16,1880.2,9895.69,1293.94,1909.34,0.0
14,2024-09-14,21:52:15,21:31:08,New Amandaton,East Kathleen,JetBlue,Boeing 777,7.73,1653.01,40602.96,5861.66,2291.98,3.32
15,2025-03-21,04:59:05,23:58:46,Port David,Nicholsstad,Delta,Boeing 777,8.52,2144.16,19990.12,6490.48,1290.99,0.0
16,2024-05-31,07:42:50,23:36:09,Michaelhaven,Matthewhaven,United Airlines,Boeing 777,2.59,2248.49,29287.11,9867.45,3137.99,0.0
17,2024-11-20,01:32:29,14:49:18,Torresport,Christopherbury,American Airlines,Airbus A320,9.33,1657.26,41095.58,5161.16,4710.09,0.0
18,2023-06-06,13:06:42,06:07:27,West Seanberg,Salazarchester,JetBlue,Airbus A380,10.76,1007.3,35415.22,7042.47,1549.25,0.0
19,2025-02-05,21:19:37,06:44:36,New Jasonfurt,West Taylor,American Airlines,Airbus A320,2.7,1045.6,49709.77,6959.15,3966.54,0.0
20,2023-11-06,19:40:46,04:59:22,North Rachelberg,Leefurt,JetBlue,Boeing 777,11.24,2058.88,43843.0,9111.42,1548.66,3.67
21,2021-11-03,13:08:57,20:41:34,Lake Johntown,Port Danielshire,Southwest,Boeing 737,8.78,2525.74,14584.63,9816.48,2769.96,0.0
22,2023-01-18,20:01:51,11:54:25,Matthewchester,West Philliphaven,American Airlines,Boeing 777,9.67,1495.03,26716.12,2345.44,2638.36,0.0
23,2020-12-26,03:41:21,06:04:41,East Davidmouth,Robertston,Delta,Boeing 777,3.64,1974.49,43270.98,8517.8,3631.03,0.0
24,2025-03-17,15:55:38,00:02:55,Codyville,Hollowayport,United Airlines,Boeing 737,8.67,2838.87,43279.12,8678.22,3386.14,2.13
25,2024-02-13,06:41:45,21:55:48,East Brittany,South Rebecca,American Airlines,Boeing 777,9.6,1901.94,16160.96,5080.76,2161.71,0.0
26,2025-01-02,05:17:19,16:17:51,Lindaview,West Cheryl,Southwest,Boeing 737,11.6,690.45,30262.56,2486.69,3525.23,3.8
27,2022-10-23,03:12:15,15:14:52,South Gregory,Jimchester,JetBlue,Airbus A320,2.17,2427.62,13436.84,3154.57,4879.41,0.0
28,2023-01-30,12:33:25,07:40:49,North Sonya,South Alishaburgh,JetBlue,Boeing 737,6.13,715.43,16243.21,1742.98,4745.88,0.0
29,2024-02-05,22:52:39,12:07:15,Matthewburgh,New Dylan,JetBlue,Boeing 777,5.8,2242.43,48761.28,8984.82,4146.25,2.39
30,2024-10-03,18:11:21,18:03:43,Jonesfurt,West Carlashire,Southwest,Boeing 777,9.05,1835.62,43966.92,3503.82,2660.62,2.85
31,2021-12-28,06:29:38,10:46:51,Lukeville,Port Justin,Delta,Airbus A320,2.26,1296.08,3486.96,893.28,4199.89,1.19
32,2023-11-17,03:01:57,09:37:08,Patrickville,South Olivialand,Southwest,Boeing 777,5.97,1320.84,24403.83,574.37,2394.42,0.0
33,2021-01-01,20:10:09,10:18:41,Lake Christopher,Port William,Southwest,Airbus A380,1.64,1276.05,34806.11,6142.28,2301.69,0.0
34,2023-08-30,05:27:13,14:02:34,Paulview,Port Joshuamouth,JetBlue,Airbus A380,5.53,2025.94,37202.79,7707.9,4731.84,0.0
35,2024-09-24,10:44:57,07:29:56,Boothstad,Kristiton,Southwest,Boeing 737,8.98,2993.99,4168.45,6926.07,2341.83,3.86
36,2022-09-15,10:47:47,18:08:57,South Cynthia,Richardsonville,JetBlue,Airbus A320,6.3,582.96,23490.92,1208.57,2784.32,3.67
37,2023-11-25,22:07:30,00:25:27,North Ellenport,East Vincentville,JetBlue,Boeing 777,9.58,2879.18,36897.09,5525.35,1003.14,0.0
38,2021-07-07,20:59:41,02:25:22,Boydstad,North Kathleen,JetBlue,Boeing 737,7.35,604.95,45008.9,6326.59,2832.81,0.74
39,2020-10-18,12:51:23,11:53:03,North Cheryl,Washingtonshire,JetBlue,Boeing 777,11.75,2078.96,28423.54,7174.52,1450.14,2.86
40,2020-02-22,19:56:25,23:40:48,Lake Tamifurt,Angelhaven,American Airlines,Boeing 737,5.06,1936.25,32241.53,8039.39,4232.88,0.0
